molecule_chembl_id,CLint(ul/min/mg),SMILES
CHEMBL4100499,20,c1cc([C@H]2CC[C@]3(CC2)OOC2(O3)C3CC4CC(C3)CC2C4)ccc1OCCN1CC2(COC2)C1
CHEMBL5437860,83,CC(=O)c1ccc2c(c1)c1cc(C(C)=O)ccc1n2CCNCCN1CCCC1
CHEMBL45816,56.5,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C
CHEMBL1783764,17,CC(C)(CC1Cc2ccccc2C1)NC[C@@H](O)COc1cc(C2CC3CC2C2C(C(=O)O)C32)ccc1C#N
CHEMBL1783763,15,CC(C)(CC1Cc2ccccc2C1)NC[C@@H](O)COc1cccc(C2CC3CC2C2C(C(=O)O)C32)c1
CHEMBL3221308,63,CNC(=O)[C@@H](NC(=O)[C@@](O)(CCCN(Cc1ccc(-c2cccnc2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccccc1)C(C)(C)C
CHEMBL180672,157,CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)COc1cccc(Cl)c1C#N
CHEMBL1783931,15,Cc1ccc(CC(C)(C)NC[C@@H](O)COc2cc(C3CC4CC3C3C(C(=O)O)C43)ccc2C#N)cc1F
CHEMBL1783766,20,Cc1ccc(CC(C)(C)NC[C@@H](O)COc2cc(C3CC4CC3C3C(C(=O)O)C43)ccc2F)cc1F
CHEMBL3221300,180,CNC(=O)[C@@H](NC(=O)[C@@](O)(CCCN(Cc1ccc(Br)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccccc1)C(C)(C)C
CHEMBL1783936,23,C[C@@H](OC[C@H](O)CNC(C)(C)CC1Cc2ccccc2C1)c1ccccc1C1CC2CC1C1C(C(=O)O)C21
CHEMBL1783933,35,Cc1ccc(CC(C)(C)NC[C@@H](O)CO[C@H](C)c2ccccc2C2CC3CC2C2C(C(=O)O)C32)cc1F
CHEMBL1783935,33,Cc1ccc(CC(C)(C)NC[C@@H](O)CO[C@H](C)c2ccccc2C2CC3CC2C2C(C(=O)O)C32)cc1Cl
CHEMBL111402,36,Oc1nc2c(O)ccc(CCNCCCSCCOCCc3cccc4ccccc34)c2s1
CHEMBL110861,56,Oc1nc2c(O)ccc(CCNCCOCCCOCCc3ccccc3)c2s1
CHEMBL320714,29,Oc1nc2c(O)ccc(CCNCCCCCCOCCc3ccccc3)c2s1
CHEMBL322479,48.67,CC(C)(CCCCCOCCc1ccccc1)NCCc1ccc(O)c2nc(O)sc12
CHEMBL108546,21,Oc1nc2c(O)ccc(CCNCCCOCCOCCc3ccccc3)c2s1
CHEMBL1263,58,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O
CHEMBL3976121,1.75,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC(C4CC4)C4CC4)nc(Cl)nc31)[C@H](O)[C@@H]2O
CHEMBL5430815,52,Cc1cc(N2CCc3c(c(C)nn3CC34CCC(NC5CCC5)(CC3)CC4)C2)c2cnn(C)c2n1
CHEMBL5395465,23,O=C(O)c1cc(F)c2nc(CN3CCN(c4cccc(OCc5ccc(Cl)c6c5OCC6)n4)C=N3)n(C[C@@H]3CCO3)c2c1
CHEMBL5399932,13,O=C(O)c1cc(F)c2nc(CN3CCN(c4cccc(OCc5ccc(Cl)c6cc(F)oc56)n4)C=N3)n(C[C@@H]3CCO3)c2c1
CHEMBL4175440,35.6,Cc1cccc2c(Nc3cccc(-c4nc5c(C(N)=O)cccc5[nH]4)c3)c3ccccc3nc12
CHEMBL4583774,7,CS(=O)(=O)O.O=C(O)C1CN(Cc2ccc([C@H]3CC[C@]4(CC3)OOC3(O4)C4CC5CC(C4)CC3C5)cc2)C1
CHEMBL3622956,49,Cc1nn(-c2ccnc(Nc3ccc4c(c3)c(Cl)c(C)n4C)n2)cc1CN1CC(O)C1
CHEMBL4743842,8,CNC(=O)c1nn(C)c2ccc(Nc3nccc(-n4cc(NC5CNC5)c(C)n4)n3)cc12
